Charge,Date,BIN,Uoc,Isc,Rser,Rsh,FF,EFF,IRev1,IRev2
5345803-S04-156I3-A-L-B-190,20.02.2020-02:27:52,1.00000000e+00,6.39761806e-01,8.85640717e+00,1.91709271e-03,3.28132538e+02,8.00276871e+01,1.84563713e+01,1.66227177e-01,6.01385653e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:27:54,1.90000000e+01,6.43366277e-01,8.89782906e+00,1.87647028e-03,2.25654663e+02,8.02966156e+01,1.87098274e+01,1.60218060e-01,3.02750885e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:27:56,9.00000000e+00,6.44683838e-01,8.94933605e+00,1.64858182e-03,2.32874756e+02,8.03708954e+01,1.88741150e+01,1.23420164e-01,1.88547358e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:27:58,2.00000000e+01,6.41752779e-01,8.87776661e+00,1.72423967e-03,1.82381165e+02,8.03585968e+01,1.86351986e+01,1.50982231e-01,3.74208689e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:01,8.00000000e+00,6.45492852e-01,8.95030499e+00,1.84973760e-03,1.53363998e+02,8.04428787e+01,1.89167728e+01,2.16877431e-01,2.87420928e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:03,2.00000000e+01,6.41485572e-01,8.87850094e+00,1.82161969e-03,8.09436035e+01,8.04923630e+01,1.86599903e+01,2.98121959e-01,6.12137079e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:05,1.90000000e+01,6.43046618e-01,8.93302345e+00,2.03784578e-03,6.20821075e+01,8.03759308e+01,1.87930450e+01,3.73864740e-01,5.77620566e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:07,1.90000000e+01,6.42902315e-01,8.92959023e+00,1.64726120e-03,9.72617645e+01,8.02989960e+01,1.87636261e+01,2.43877426e-01,5.66512167e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:09,9.00000000e+00,6.44396305e-01,8.94800949e+00,1.86824554e-03,7.32299194e+01,8.02977371e+01,1.88457317e+01,3.66587520e-01,5.37208021e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:11,9.00000000e+00,6.44670546e-01,8.94403172e+00,1.82359316e-03,1.41083954e+02,8.03370056e+01,1.88545856e+01,2.17502356e-01,3.98489535e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:13,2.10000000e+01,6.40104711e-01,8.84013939e+00,1.96347525e-03,6.39487976e+02,8.03521500e+01,1.85070782e+01,1.54851362e-01,1.25080931e+00
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:15,1.00000000e+00,6.41787231e-01,8.82399368e+00,2.17886455e-03,5.64104492e+02,7.98272476e+01,1.84008389e+01,8.47516209e-02,2.13652045e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:17,1.90000000e+01,6.42974734e-01,8.91937256e+00,1.96249713e-03,1.64947739e+02,8.02005997e+01,1.87213001e+01,1.43896639e-01,1.84685960e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:20,2.10000000e+01,6.43155456e-01,8.87399960e+00,2.09789863e-03,1.72174606e+02,7.99937439e+01,1.85832462e+01,1.45717621e-01,2.40178227e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:22,2.10000000e+01,6.41923964e-01,8.87903595e+00,2.36418983e-03,4.08486420e+02,8.00396118e+01,1.85688324e+01,9.02497843e-02,1.95787907e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:24,9.00000000e+00,6.46166265e-01,8.90629387e+00,1.80467521e-03,5.86196899e+02,8.04728394e+01,1.88504124e+01,4.47111540e-02,8.45370665e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:26,1.00000000e+00,6.39112175e-01,8.85902119e+00,1.85999949e-03,3.67932861e+02,8.01605377e+01,1.84736881e+01,1.30878359e-01,5.54891527e-01
